#Lambda	Qext	Qsca	Qabs	Cext	Csca	Cabs	Qnf_1	Qnf_2	Qnf_3
646	3.787397445007653	1.192883985743543	2.59451345926411	10708.613990514716	3372.800009577143	7335.8139809375725	6.455035297439569	2.406915339806218	41.82862832987123
647	3.6154334295572434	1.1506013001511723	2.464832129406071	10222.397191655988	3253.248532589209	6969.148659066779	6.40761934993255	2.394672522524852	40.59070243070334
648	3.447790444350205	1.11315899266974	2.334631451680465	9748.397817978923	3147.3829022838027	6601.01491569512	6.36179373867123	2.3830431260787424	39.50742316415117
649	3.291746105156562	1.0736273828908944	2.2181187222656673	9307.192843298402	3035.609908904583	6271.582934393819	6.315956589690536	2.371332652088626	38.33496208962882
650	3.138930587767103	1.038447311258319	2.1004832765087844	8875.11714719168	2936.1405997702873	5938.976547421393	6.2716257542346545	2.3601981579380644	37.302633710262896
651	2.9931584922294814	1.004334151375382	1.9888243408540993	8462.956257196236	2839.6879125392156	5623.268344657021	6.228005172609703	2.3492959954986503	36.29474004665473
652	2.854280016242304	0.9713203093360033	1.8829597069063007	8070.28661728348	2746.343473283298	5323.943144000183	6.185079728172669	2.3386207502641363	35.31304474708409
653	2.716926498634592	0.9344210711692761	1.7825054274653156	7681.928695608485	2642.0133352904127	5039.915360318073	6.137988060241027	2.327506308623175	34.176298996330885
654	2.591993354549345	0.9039491872427546	1.6880441673065905	7328.688552725207	2555.856113274272	4772.8324394509345	6.096499847338038	2.317300956314324	33.26036794139584
655	2.4732475479016154	0.8745782524417217	1.5986692954598936	6992.942694297016	2472.811751574281	4520.130942722735	6.055661499633654	2.3073062441363943	32.37270566458313
656	2.366033092082659	0.8446336559264781	1.5213994361561811	6689.800962213502	2388.1453995899815	4301.65556262352	6.014860685528851	2.2972663340972166	31.451771625063024
657	2.2589638170591004	0.8175595570198216	1.441404260039279	6387.069719158224	2311.5951883850375	4075.4745307731864	5.975302043243199	2.287688010936318	30.625738400248682
658	2.170692580151281	0.7923542711180033	1.378338309033278	6137.488676704624	2240.3289214663328	3897.159755238291	5.939646183168467	2.2783503631177022	29.858837542566857
659	2.0737327494775015	0.7673406084268579	1.3063921410506436	5863.341214140373	2169.604456411445	3693.7367577289283	5.901251976713982	2.2691501354803574	29.08875557766915
660	1.9872458893656817	0.7421047631645821	1.2451411262010996	5618.805378216966	2098.25178493666	3520.5535932803064	5.862913631767742	2.2599186595283944	28.299863281589918
661	1.9173565243811255	0.7188313980266791	1.1985251263544465	5421.197854177382	2032.4478952892657	3388.7499588881165	5.828375419393422	2.2509092679628386	27.575524761903765
662	1.8455277933513488	0.6976505955608435	1.1478771977905051	5218.106901829541	1972.5605872078409	3245.5463146217003	5.7948509030567035	2.242279699763298	26.92195096209494
663	1.776495167231129	0.6745986190492274	1.1018965481819016	5022.921749859977	1907.382659154185	3115.5390907057927	5.75772691184041	2.2334091270693106	26.187083832415336
664	1.7114957618253115	0.6552272889385256	1.056268472886786	4839.140260800418	1852.6115136247456	2986.528747175673	5.7251987711686265	2.225108576852146	25.58574769330898
665	1.6546273569926888	0.6357878760560431	1.0188394809366457	4678.348634241234	1797.6478685932107	2880.7007656480237	5.692647621312866	2.21676347727355	24.973595017875105
666	1.6004319946647683	0.617192827030021	0.9832391676347473	4525.114857308005	1745.0716061212468	2780.0432511867584	5.660560266821798	2.2085732560404603	24.386452054765297
667	1.5487539595823239	0.5993961700725413	0.9493577895097826	4378.998655477739	1694.7527440407785	2684.2459114369603	5.6289275442434485	2.2005343616196584	23.82302372443821
668	1.5040358369711124	0.5837409217160198	0.9202949152550927	4252.5611425478	1650.488572136504	2602.072570411296	5.601067022136477	2.192764124014127	23.337353133736862
669	1.4567504802572853	0.5673514087193174	0.8893990715379678	4118.8649462007215	1604.148315872785	2514.7166303279364	5.5702702323235185	2.185004005821928	22.815567576646806
670	1.4115867248634588	0.5516420858449954	0.8599446390184634	3991.1674362623266	1559.7312518714289	2431.436184390898	5.539902788441525	2.177385470110446	22.31415593878711
671	1.3684251332854152	0.5365770381611515	0.8318480951242636	3869.1309111453843	1517.1358330548394	2351.9950780905447	5.509956361824491	2.1699053528187413	21.832091506934738
672	1.322746888586861	0.5226579504294665	0.8000889381573945	3739.978716968915	1477.7805396685592	2262.1981773003554	5.480842369366916	2.1627279361733467	21.390239871841747
673	1.2833594287979762	0.5087505456286957	0.7746088831692804	3628.6132980842235	1438.4582789912183	2190.155019093005	5.451706522797001	2.1555122034620227	20.942847459634972
674	1.2456585790710766	0.4953945244468348	0.7502640546242418	3522.0166568017153	1400.6950187677069	2121.321638034008	5.422968126189288	2.148426048275204	20.512144147702667
675	1.209552778738027	0.48256172978222056	0.7269910489558064	3419.9299114312553	1364.4111466686663	2055.518764762589	5.394619623659527	2.1414666524045303	20.097314326272205
676	1.170914471639536	0.47064539977521536	0.7002690718643207	3310.6826718762663	1330.718517341683	1979.9641545345833	5.367042144871868	2.1347847054204143	19.715104088555957
677	1.1378378209978293	0.4587575264772401	0.6790802945205892	3217.1606454810585	1297.1063474639302	1920.0542980171283	5.339444912383074	2.128067738366303	19.328864862495855
678	1.106112876044369	0.44731973763681626	0.6587931384075527	3127.4604768798604	1264.7667614089821	1862.6937154708783	5.312216194589896	2.1214696511517217	18.95637942736358
679	1.0718816607341821	0.4366618603531824	0.6352198003809997	3030.67399579212	1234.6323233295689	1796.041672462551	5.285715538128536	2.115131617861774	18.61194307841859
680	1.042737930627053	0.4260398704600594	0.6166980601669936	2948.272040229636	1204.5993544563028	1743.6726857733331	5.259197284953637	2.1087610903898084	18.264320570609954
681	1.0147448180449163	0.4158065705362535	0.5989382475086629	2869.1233790743986	1175.665380579954	1693.4579984944446	5.233027628172942	2.102502192400807	17.928657136833124
682	0.9878439615829491	0.405943354968421	0.581900606614528	2793.0629993418274	1147.7777955681465	1645.285203773681	5.207200176007258	2.0963526088753115	17.604403358901617
683	0.9585120461839749	0.3967140073327094	0.5617980388512656	2710.1289624020064	1121.6824299113464	1588.44653249066	5.182048826280211	2.0904423188402808	17.303261090826478
684	0.9337119206240286	0.38752471181604337	0.5461872088079853	2640.008259361498	1095.7003089532052	1544.3079504082928	5.156881653754643	2.0845022458297815	16.999728496344407
685	0.9098471822181016	0.37865675434245405	0.5311904278756475	2572.5323011911855	1070.6267499069677	1501.9055512842178	5.132038569688537	2.0786649969262423	16.7061661450343
686	0.8868722505743072	0.370095341555743	0.5167769090185642	2507.5722123692008	1046.4199255433946	1461.1522868258062	5.107513750249147	2.072928495154666	16.42213311248286
687	0.8647442202547114	0.361826506674152	0.5029177135805594	2445.006680627792	1023.0403457174167	1421.9663349103753	5.083301534437527	2.0672907299095775	16.147212301787775
