lambda	n2-gold(J&C)	k2-gold(J&C)	n1-Si	k1-Si
569	0.345	2.707	1.459212121	0
570	0.341	2.72	1.459172727	0
571	0.337	2.732	1.459133333	0
572	0.332	2.744	1.459093939	0
573	0.328	2.757	1.459054545	0
574	0.323	2.769	1.459015152	0
575	0.319	2.781	1.458975758	0
576	0.315	2.793	1.458936364	0
577	0.311	2.805	1.45889697	0
578	0.307	2.816	1.458857576	0
579	0.303	2.828	1.458818182	0
580	0.299	2.84	1.458778788	0
581	0.296	2.852	1.458739394	0
582	0.293	2.864	1.4587	0
583	0.29	2.877	1.458665714	0
584	0.287	2.889	1.458631429	0
585	0.284	2.901	1.458597143	0
586	0.282	2.913	1.458562857	0
587	0.279	2.925	1.458528571	0
588	0.277	2.936	1.458494286	0
589	0.274	2.948	1.45846	0
590	0.272	2.96	1.458425714	0
591	0.27	2.971	1.458391429	0
592	0.267	2.982	1.458357143	0
593	0.265	2.993	1.458322857	0
594	0.263	3.004	1.458288571	0
595	0.26	3.015	1.458254286	0
596	0.258	3.026	1.45822	0
597	0.256	3.037	1.458185714	0
598	0.253	3.048	1.458151429	0
599	0.251	3.059	1.458117143	0
600	0.249	3.07	1.458082857	0
601	0.247	3.082	1.458048571	0
602	0.244	3.094	1.458014286	0
603	0.242	3.106	1.45798	0
604	0.24	3.118	1.457945714	0
605	0.237	3.13	1.457911429	0
606	0.235	3.142	1.457877143	0
607	0.233	3.154	1.457842857	0
608	0.231	3.166	1.457808571	0
609	0.228	3.178	1.457774286	0
610	0.226	3.19	1.45774	0
611	0.224	3.201	1.457705714	0
612	0.222	3.213	1.457671429	0
613	0.219	3.224	1.457637143	0
614	0.217	3.235	1.457602857	0
615	0.215	3.246	1.457568571	0
616	0.213	3.257	1.457534286	0
617	0.211	3.268	1.4575	0
618	0.209	3.279	1.457472093	0
619	0.207	3.289	1.457444186	0
620	0.205	3.3	1.457416279	0
621	0.203	3.31	1.457388372	0
622	0.201	3.32	1.457360465	0
623	0.2	3.331	1.457332558	0
624	0.198	3.341	1.457304651	0
625	0.196	3.351	1.457276744	0
626	0.195	3.361	1.457248837	0
627	0.193	3.371	1.45722093	0
628	0.191	3.38	1.457193023	0
629	0.19	3.39	1.457165116	0
630	0.188	3.4	1.457137209	0
631	0.186	3.41	1.457109302	0
632	0.185	3.42	1.457081395	0
633	0.183	3.43	1.457053488	0
634	0.182	3.44	1.457025581	0
635	0.18	3.45	1.456997674	0
636	0.178	3.46	1.456969767	0
637	0.177	3.47	1.45694186	0
638	0.175	3.48	1.456913953	0
639	0.174	3.49	1.456886047	0
640	0.172	3.5	1.45685814	0
641	0.17	3.51	1.456830233	0
642	0.169	3.52	1.456802326	0
643	0.167	3.53	1.456774419	0
644	0.166	3.54	1.456746512	0
645	0.164	3.55	1.456718605	0
646	0.162	3.56	1.456690698	0
647	0.161	3.57	1.456662791	0
648	0.159	3.58	1.456634884	0
649	0.158	3.59	1.456606977	0
